number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.23542220976041728,2026-06-25 11:06:42.255621,2026-06-25 11:06:43.255871,0 days 00:00:01.000250,,,,,,,,,,,,,,19,{},COMPLETE
1,0.2271327841173849,2026-06-25 11:06:43.270400,2026-06-25 11:06:45.536757,0 days 00:00:02.266357,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,160,,COMPLETE
2,0.2246499908217462,2026-06-25 11:06:45.550523,2026-06-25 11:06:47.022239,0 days 00:00:01.471716,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,426,,COMPLETE
3,0.2501377368443348,2026-06-25 11:06:47.035547,2026-06-25 11:06:47.443193,0 days 00:00:00.407646,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,239,,COMPLETE
4,0.22182477805772016,2026-06-25 11:06:47.453080,2026-06-25 11:06:48.520967,0 days 00:00:01.067887,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,942,,COMPLETE
5,0.22151690311596672,2026-06-25 11:06:48.534528,2026-06-25 11:06:51.181557,0 days 00:00:02.647029,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,141,,COMPLETE
6,0.2498683147515719,2026-06-25 11:06:51.195513,2026-06-25 11:06:51.407985,0 days 00:00:00.212472,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,59,,COMPLETE
7,0.2083057649519806,2026-06-25 11:06:51.418291,2026-06-25 11:06:52.156454,0 days 00:00:00.738163,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,35,,COMPLETE
8,0.2169546301768881,2026-06-25 11:06:52.171517,2026-06-25 11:06:54.689130,0 days 00:00:02.517613,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,80,,COMPLETE
9,0.2140557896626638,2026-06-25 11:06:54.698351,2026-06-25 11:06:55.263880,0 days 00:00:00.565529,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,46,,COMPLETE
10,0.20917631223814248,2026-06-25 11:06:55.273249,2026-06-25 11:06:56.776364,0 days 00:00:01.503115,0.9908611332363597,1.0,0.03512175732792625,55.54162315706866,True,0.6839963928728011,0.5905156421247704,0.02569074131920096,0.005556572437269131,99.0,19.0,23.0,12.0,359,,COMPLETE
11,0.21174218890258345,2026-06-25 11:06:56.785817,2026-06-25 11:06:57.988511,0 days 00:00:01.202694,0.9984567420564903,1.0,0.03352561511977935,52.38654328518467,True,0.6606137630538468,0.6091129560474012,0.07101727097318089,0.005738601544760158,100.0,21.0,22.0,14.0,248,,COMPLETE
12,0.2126322778005274,2026-06-25 11:06:57.998251,2026-06-25 11:06:58.520424,0 days 00:00:00.522173,0.9979535080856271,1.0,0.2848884235393859,0.305128880331871,True,0.6537243008275448,0.6091933662784068,0.4702775475535603,0.005311126596497428,100.0,3.0,16.0,9.0,83,,COMPLETE
13,0.2100585844913735,2026-06-25 11:06:58.530248,2026-06-25 11:07:00.662221,0 days 00:00:02.131973,0.9503189177548768,1.0,0.029147700650528047,41.27630723964667,True,0.7644768432606033,0.5896395419955747,0.44189377158627724,0.009804783701770422,69.0,16.0,9.0,25.0,359,,COMPLETE
