number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,8.956336948499025,2026-06-25 11:43:23.708198,2026-06-25 11:43:26.329176,0 days 00:00:02.620978,,,,,,,,,,,,,,67,{},COMPLETE
1,8.938046212146553,2026-06-25 11:43:26.345749,2026-06-25 11:43:36.165886,0 days 00:00:09.820137,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,399,,COMPLETE
2,9.131369726301742,2026-06-25 11:43:36.179525,2026-06-25 11:43:41.809834,0 days 00:00:05.630309,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,1000,,COMPLETE
3,9.643182862249274,2026-06-25 11:43:41.819759,2026-06-25 11:43:45.124636,0 days 00:00:03.304877,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,9.594000022631167,2026-06-25 11:43:45.134009,2026-06-25 11:43:48.014092,0 days 00:00:02.880083,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,9.093753950809273,2026-06-25 11:43:48.023476,2026-06-25 11:44:00.450080,0 days 00:00:12.426604,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,62,,COMPLETE
6,9.396153508891098,2026-06-25 11:44:00.460498,2026-06-25 11:44:03.640442,0 days 00:00:03.179944,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,1000,,COMPLETE
7,9.017693424157823,2026-06-25 11:44:03.649745,2026-06-25 11:44:15.147692,0 days 00:00:11.497947,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,1000,,COMPLETE
8,8.968760787173624,2026-06-25 11:44:15.156927,2026-06-25 11:44:24.543196,0 days 00:00:09.386269,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,167,,COMPLETE
9,9.125403284465433,2026-06-25 11:44:24.554527,2026-06-25 11:44:31.190685,0 days 00:00:06.636158,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,264,,COMPLETE
