number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.24403713147208148,2026-06-25 12:48:35.318384,2026-06-25 12:48:38.504172,0 days 00:00:03.185788,,,,,,,,,,,,,,38,{},COMPLETE
1,0.2442930738350963,2026-06-25 12:48:38.519454,2026-06-25 12:48:46.644091,0 days 00:00:08.124637,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,346,,COMPLETE
2,0.23236893887293283,2026-06-25 12:48:46.654473,2026-06-25 12:48:53.193531,0 days 00:00:06.539058,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,821,,COMPLETE
3,0.2653735985192521,2026-06-25 12:48:53.205594,2026-06-25 12:48:55.495817,0 days 00:00:02.290223,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,0.24129073932256784,2026-06-25 12:48:55.505144,2026-06-25 12:48:57.588736,0 days 00:00:02.083592,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,0.2546350462174412,2026-06-25 12:48:57.601693,2026-06-25 12:49:00.691055,0 days 00:00:03.089362,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,46,,COMPLETE
6,0.2426961955981228,2026-06-25 12:49:00.699835,2026-06-25 12:49:02.801327,0 days 00:00:02.101492,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,803,,COMPLETE
7,0.2193264016219878,2026-06-25 12:49:02.810336,2026-06-25 12:49:10.574864,0 days 00:00:07.764528,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,711,,COMPLETE
8,0.2409910114044901,2026-06-25 12:49:10.589320,2026-06-25 12:49:14.634539,0 days 00:00:04.045219,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,100,,COMPLETE
9,0.22438538326790788,2026-06-25 12:49:14.645204,2026-06-25 12:49:16.352398,0 days 00:00:01.707194,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,180,,COMPLETE
10,0.22430321043422435,2026-06-25 12:49:16.360883,2026-06-25 12:49:23.638335,0 days 00:00:07.277452,0.9908611332363597,1.0,0.03512175732792625,55.54162315706866,True,0.6839963928728011,0.5905156421247704,0.02569074131920096,0.005556572437269131,99.0,19.0,23.0,12.0,1000,,COMPLETE
11,0.22488880296864688,2026-06-25 12:49:23.647158,2026-06-25 12:49:31.449450,0 days 00:00:07.802292,0.9984567420564903,1.0,0.03352561511977935,52.38654328518467,True,0.6606137630538468,0.6091129560474012,0.07101727097318089,0.005738601544760158,100.0,21.0,22.0,14.0,1000,,COMPLETE
12,0.22620054768971917,2026-06-25 12:49:31.458485,2026-06-25 12:49:38.084507,0 days 00:00:06.626022,0.9979535080856271,1.0,0.2848884235393859,0.305128880331871,True,0.6537243008275448,0.6091933662784068,0.4702775475535603,0.005311126596497428,100.0,3.0,16.0,9.0,1000,,COMPLETE
13,0.22071158941687324,2026-06-25 12:49:38.096207,2026-06-25 12:49:46.097057,0 days 00:00:08.000850,0.9503189177548768,1.0,0.029147700650528047,41.27630723964667,True,0.7644768432606033,0.5896395419955747,0.44189377158627724,0.009804783701770422,69.0,16.0,9.0,25.0,831,,COMPLETE
14,0.21826452160301094,2026-06-25 12:49:46.105816,2026-06-25 12:49:55.804834,0 days 00:00:09.699018,0.9409041505461242,1.0,0.005667458634051511,0.2652032650731302,True,0.8229616337423648,0.17045177131759753,0.6480223495136972,0.010895440393473043,60.0,3.0,7.0,30.0,543,,COMPLETE
15,0.21790690217873604,2026-06-25 12:49:55.817451,2026-06-25 12:50:01.494366,0 days 00:00:05.676915,0.9210095278538653,1.0,0.005430648942847082,0.1515301900271508,True,0.41633141583471817,0.03640118275079507,0.8839013887645427,0.028815039460611834,30.0,2.0,4.0,45.0,256,,COMPLETE
16,0.2203321326908496,2026-06-25 12:50:01.508178,2026-06-25 12:50:06.360643,0 days 00:00:04.852465,0.9133322631918015,1.0,0.006310660063802351,0.09254512504301933,True,0.8212080168226827,0.012354692201737738,0.8738675302882828,0.03741401213259055,28.0,3.0,4.0,137.0,132,,COMPLETE
17,0.22005519273918467,2026-06-25 12:50:06.369760,2026-06-25 12:50:09.700259,0 days 00:00:03.330499,0.7964213466755055,1.0,0.0050422369577847945,0.005448874413511189,True,0.5817133886507502,0.14581680594764818,0.9122507668170847,0.047579085186944176,28.0,1.0,12.0,64.0,139,,COMPLETE
18,0.22160959302276703,2026-06-25 12:50:09.709172,2026-06-25 12:50:12.894682,0 days 00:00:03.185510,0.9032532388824224,1.0,0.016059655342693067,0.1738420116800695,True,0.40697257697653194,0.20826986703727507,1.1285208965672593,0.025285224585045687,28.0,5.0,39.0,5.0,546,,COMPLETE
19,0.22014549101013098,2026-06-25 12:50:12.903438,2026-06-25 12:50:16.957887,0 days 00:00:04.054449,0.7176826027544516,1.0,0.019182123941328583,0.04080183433830348,True,0.9103230440014185,0.24080412649906552,0.6569092604765316,0.030539550602294446,45.0,2.0,4.0,42.0,202,,COMPLETE
20,0.21997484347537644,2026-06-25 12:50:16.966435,2026-06-25 12:50:19.354711,0 days 00:00:02.388276,0.8297624025434925,1.0,0.008203648860405295,0.6928926742191971,True,0.6000278459358684,0.06843445212643853,1.213399386047902,0.06046858917203818,20.0,1.0,9.0,17.0,121,,COMPLETE
21,0.21867217970430802,2026-06-25 12:50:19.363029,2026-06-25 12:50:26.887561,0 days 00:00:07.524532,0.9570796324291629,1.0,0.08436511658909462,1.0525211281678137,True,0.4080077391610747,0.45094013326189525,0.3208739265365091,0.014505954450246649,60.0,2.0,7.0,42.0,716,,COMPLETE
22,0.21701921541657565,2026-06-25 12:50:26.898419,2026-06-25 12:50:38.821476,0 days 00:00:11.923057,0.9651153089964928,1.0,0.08817938178373452,0.14200990330598853,True,0.40015726738282775,0.006799156086794204,0.7465081008407698,0.013992436013226226,55.0,3.0,4.0,92.0,539,,COMPLETE
23,0.21842721760332962,2026-06-25 12:50:38.841033,2026-06-25 12:50:51.093671,0 days 00:00:12.252638,0.9271442179089041,1.0,0.017941826319708813,0.09547146649050264,True,0.4001933765727732,0.02476634969852057,0.7238857088189534,0.011126701166036451,34.0,4.0,3.0,90.0,710,,COMPLETE
24,0.21929639009659396,2026-06-25 12:50:51.102458,2026-06-25 12:51:02.924093,0 days 00:00:11.821635,0.9779670590730553,1.0,0.06314668339354824,0.008401971384654695,True,0.7476291010766452,0.1538317266141419,0.7775842810311443,0.007630629485061476,49.0,9.0,4.0,105.0,849,,COMPLETE
25,0.2186166824757615,2026-06-25 12:51:02.933678,2026-06-25 12:51:08.950871,0 days 00:00:06.017193,0.8953404350699133,1.0,0.005317979374684766,0.2417301340916755,True,0.5361968357650064,0.25973836367448916,1.2862022837510447,0.020422671932410884,56.0,3.0,3.0,197.0,450,,COMPLETE
