number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.26227495898420033,2026-06-25 12:54:31.586899,2026-06-25 12:54:33.291717,0 days 00:00:01.704818,,,,,,,,,,,,17,{},COMPLETE
1,0.23560595785178626,2026-06-25 12:54:33.306398,2026-06-25 12:55:03.915166,0 days 00:00:30.608768,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,522,,COMPLETE
2,0.23637939294727117,2026-06-25 12:55:03.927157,2026-06-25 12:55:07.502317,0 days 00:00:03.575160,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,205,,COMPLETE
3,0.23742125616050794,2026-06-25 12:55:07.510363,2026-06-25 12:55:26.771974,0 days 00:00:19.261611,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,715,,COMPLETE
4,0.23205938762799388,2026-06-25 12:55:26.780899,2026-06-25 12:55:42.559164,0 days 00:00:15.778265,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,783,,COMPLETE
5,0.24063711383840553,2026-06-25 12:55:42.573673,2026-06-25 12:55:53.433170,0 days 00:00:10.859497,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,600,,COMPLETE
6,0.23394675440769733,2026-06-25 12:55:53.445093,2026-06-25 12:56:08.864232,0 days 00:00:15.419139,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,605,,COMPLETE
7,0.2471196824046928,2026-06-25 12:56:08.874755,2026-06-25 12:56:22.185213,0 days 00:00:13.310458,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.23611333185671274,2026-06-25 12:56:22.193915,2026-06-25 12:56:36.187272,0 days 00:00:13.993357,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,665,,COMPLETE
9,0.23312859516230366,2026-06-25 12:56:36.196055,2026-06-25 12:56:46.345971,0 days 00:00:10.149916,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,454,,COMPLETE
10,0.24329531690084744,2026-06-25 12:56:46.354670,2026-06-25 12:56:52.024109,0 days 00:00:05.669439,0.8067426612208689,0.9630659181130071,lossguide,0.08641685654424158,31.0,7.0,137.0,0.05330630380208628,4.7988577526525065,2.5876151166352477,0.9729161367647149,555,,COMPLETE
11,0.23685849251096303,2026-06-25 12:56:52.032724,2026-06-25 12:57:11.464648,0 days 00:00:19.431924,0.6046474205309514,0.8759561693398767,depthwise,0.007631609688708743,18.0,6.0,223.0,0.04042693539277767,1.6094980895413644,2.6071607627764326,0.6112090741931764,1000,,COMPLETE
12,0.23574294296202916,2026-06-25 12:57:11.473835,2026-06-25 12:57:17.719651,0 days 00:00:06.245816,0.6013565469900577,0.7336320081207262,depthwise,0.03175878639036045,27.0,5.0,369.0,0.0013323040179599695,1.2194504168217553,2.7844391711890415,0.7171659860910148,314,,COMPLETE
13,0.23304832551848154,2026-06-25 12:57:17.728510,2026-06-25 12:57:25.349385,0 days 00:00:07.620875,0.685455074227567,0.883798810243418,depthwise,0.03663053703759853,29.0,6.0,95.0,0.05090057180402597,0.029466508441890804,4.986191441624831,0.6052561262871233,240,,COMPLETE
14,0.23360103061562834,2026-06-25 12:57:25.358202,2026-06-25 12:57:31.865838,0 days 00:00:06.507636,0.7437676091094831,0.8984748718422547,lossguide,0.0437519493631013,39.0,4.0,79.0,0.06425156029737598,0.18585189074510572,4.911524182692407,0.7455318333555111,246,,COMPLETE
15,0.23452934127519,2026-06-25 12:57:31.874333,2026-06-25 12:58:04.216485,0 days 00:00:32.342152,0.6732132011401761,0.7273245014903308,lossguide,0.010225309888755396,13.0,6.0,96.0,0.201468410642177,0.1361924100533458,3.6641559108030726,0.7911302960155628,701,,COMPLETE
16,0.23599778367114513,2026-06-25 12:58:04.225487,2026-06-25 12:58:12.160593,0 days 00:00:07.935106,0.7782524407042799,0.9185914755768421,depthwise,0.04071080400307333,12.0,7.0,40.0,0.016269636891711393,1.0230393593771117,4.826166066144186,0.6891404984361571,234,,COMPLETE
17,0.23254604738083995,2026-06-25 12:58:12.169194,2026-06-25 12:58:25.155289,0 days 00:00:12.986095,0.6789339792954019,0.7502608345953417,depthwise,0.008025449819134587,37.0,4.0,167.0,0.14066722243523666,0.060749223339732095,3.3805822662377807,0.6090073982204239,1000,,COMPLETE
18,0.2350449355377762,2026-06-25 12:58:25.164100,2026-06-25 12:58:42.016863,0 days 00:00:16.852763,0.6513078628452278,0.7377186448836298,lossguide,0.0068697143890659685,41.0,4.0,994.0,0.15847195772915262,0.826134283271231,3.199248875647957,0.9920127307686126,1000,,COMPLETE
19,0.23674448825204505,2026-06-25 12:58:42.025936,2026-06-25 12:58:54.071136,0 days 00:00:12.045200,0.7590691201282553,0.6898548178485482,depthwise,0.009819918189925529,87.0,4.0,174.0,1.7542272389950821,2.5236209090483994,1.9083088930479097,0.7765838909656054,1000,,COMPLETE
20,0.2567073300324227,2026-06-25 12:58:54.079544,2026-06-25 12:59:16.138710,0 days 00:00:22.059166,0.8366867850424077,0.7704864753898737,lossguide,0.0059656164314314765,56.0,5.0,22.0,0.14545324947774368,4.851901986528535,4.136381016121977,0.9404052868155786,1000,,COMPLETE
21,0.23073630197540734,2026-06-25 12:59:16.146978,2026-06-25 12:59:28.908948,0 days 00:00:12.761970,0.6916116164703138,0.8444549935384648,depthwise,0.010775611982478764,31.0,4.0,127.0,0.019266447542480726,0.005761656220914707,3.5968773820599678,0.6017932363422076,873,,COMPLETE
22,0.23319094353636996,2026-06-25 12:59:28.920719,2026-06-25 12:59:41.943855,0 days 00:00:13.023136,0.6406093978227206,0.8413990179270276,depthwise,0.009492370445635499,38.0,4.0,135.0,0.014656532069988295,0.5006221555966447,3.401517414863046,0.650342931892114,1000,,COMPLETE
23,0.23477079978028104,2026-06-25 12:59:41.952279,2026-06-25 12:59:54.825440,0 days 00:00:12.873161,0.7088330745134318,0.7765527468308583,depthwise,0.013293746873421875,23.0,4.0,63.0,0.019017920412390702,1.1935696163889113,3.9806690325381107,0.6256988434932992,885,,COMPLETE
24,0.23275064056328207,2026-06-25 12:59:54.835821,2026-06-25 13:00:10.848722,0 days 00:00:16.012901,0.6870055281663514,0.8269465217603638,depthwise,0.008233554847994212,11.0,5.0,233.0,1.2038359833294547,0.007139530322921514,3.068166061094154,0.6922412431881402,1000,,COMPLETE
25,0.23187331357352267,2026-06-25 13:00:10.857280,2026-06-25 13:00:22.191189,0 days 00:00:11.333909,0.6397302064005251,0.6996977563452198,depthwise,0.011645342805703767,48.0,4.0,142.0,0.103238270136313,0.5432687607799016,2.085735030062775,0.7221945131216615,780,,COMPLETE
