number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.2716006680688601,2026-06-25 13:05:13.603384,2026-06-25 13:05:15.229282,0 days 00:00:01.625898,,,,,,,,,,,,22,{},COMPLETE
1,0.25162553630915185,2026-06-25 13:05:15.244116,2026-06-25 13:05:51.992967,0 days 00:00:36.748851,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,665,,COMPLETE
2,0.25824800073889076,2026-06-25 13:05:52.006182,2026-06-25 13:05:55.981998,0 days 00:00:03.975816,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,267,,COMPLETE
3,0.2563139743566024,2026-06-25 13:05:55.990935,2026-06-25 13:06:16.560981,0 days 00:00:20.570046,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,1000,,COMPLETE
4,0.25305570801361454,2026-06-25 13:06:16.569354,2026-06-25 13:06:32.763002,0 days 00:00:16.193648,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.2640046222618919,2026-06-25 13:06:32.772113,2026-06-25 13:06:44.995597,0 days 00:00:12.223484,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,1000,,COMPLETE
6,0.2537831583579422,2026-06-25 13:06:45.008244,2026-06-25 13:07:05.390475,0 days 00:00:20.382231,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,873,,COMPLETE
7,0.3011403649594191,2026-06-25 13:07:05.400441,2026-06-25 13:07:17.883778,0 days 00:00:12.483337,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.25334121386988606,2026-06-25 13:07:17.894171,2026-06-25 13:07:34.237800,0 days 00:00:16.343629,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,892,,COMPLETE
9,0.25176561560459687,2026-06-25 13:07:34.246355,2026-06-25 13:07:46.042123,0 days 00:00:11.795768,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,653,,COMPLETE
10,0.2688408236791865,2026-06-25 13:07:46.050968,2026-06-25 13:07:52.628896,0 days 00:00:06.577928,0.8262452362725613,0.7202259292197385,lossguide,0.0864853073450281,8.0,7.0,971.0,0.05528731777524736,4.7988577526525065,2.58248067449815,0.9729161367647149,1000,,COMPLETE
11,0.2512066669623947,2026-06-25 13:07:52.637540,2026-06-25 13:08:05.416988,0 days 00:00:12.779448,0.6046474205309514,0.9934451536735682,depthwise,0.031790458723690476,29.0,10.0,366.0,0.04042693539277767,1.573844819665746,2.6859221413477004,0.6143298441164314,494,,COMPLETE
12,0.25284693957220794,2026-06-25 13:08:05.429122,2026-06-25 13:08:15.692502,0 days 00:00:10.263380,0.6832384449578339,0.9984066126989741,depthwise,0.03789339775622382,31.0,10.0,706.0,0.07468257012566243,1.2194504168217553,2.9786214466713585,0.6134343539737889,300,,COMPLETE
13,0.2506626422365966,2026-06-25 13:08:15.701635,2026-06-25 13:08:48.945219,0 days 00:00:33.243584,0.6027237182119441,0.906342970221233,depthwise,0.00721580146971962,11.0,10.0,222.0,0.05090057180402597,0.03125443121077187,1.8369576982113585,0.7101292839767273,1000,,COMPLETE
14,0.2691215223158849,2026-06-25 13:08:48.959132,2026-06-25 13:09:11.007303,0 days 00:00:22.048171,0.6043956756975085,0.912415457654784,depthwise,0.006742381708235989,34.0,8.0,226.0,0.059381665200462286,2.8097473476181793,1.6749607638010404,0.6969490771089415,1000,,COMPLETE
15,0.2717099288770737,2026-06-25 13:09:11.015931,2026-06-25 13:09:32.789678,0 days 00:00:21.773747,0.7626150642248848,0.9075522800557438,depthwise,0.008646240094379795,13.0,9.0,162.0,0.01334137491131252,4.451395073851116,1.792015584924231,0.7150482610159302,1000,,COMPLETE
16,0.2523318058588966,2026-06-25 13:09:32.798365,2026-06-25 13:09:42.962923,0 days 00:00:10.164558,0.6123455168366221,0.9994227365141046,depthwise,0.04013135867976595,12.0,10.0,421.0,0.02029471414014768,1.0959681739818286,2.1773870423885002,0.6328419617855737,328,,COMPLETE
17,0.2572145706967086,2026-06-25 13:09:42.971319,2026-06-25 13:09:53.502049,0 days 00:00:10.530730,0.7616287146723626,0.9125457701867482,depthwise,0.0356863977250977,28.0,8.0,131.0,0.14066722243523666,2.3308615614015817,3.3805822662377807,0.6657586950439942,523,,COMPLETE
18,0.26261475515822896,2026-06-25 13:09:53.510867,2026-06-25 13:09:56.957035,0 days 00:00:03.446168,0.6536929174144178,0.943210972040426,depthwise,0.0978009862718283,41.0,7.0,201.0,0.021193013199747167,3.4824378833651477,1.2004684565193997,0.6005903449636241,215,,COMPLETE
