number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.4077716942612078,2026-06-25 13:20:06.249876,2026-06-25 13:20:07.896331,0 days 00:00:01.646455,,,,,,,,,,,,,,100,{},COMPLETE
1,0.2514738512900972,2026-06-25 13:20:07.909675,2026-06-25 13:20:17.198728,0 days 00:00:09.289053,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,771,,COMPLETE
2,0.2702630681861071,2026-06-25 13:20:17.211597,2026-06-25 13:20:19.960874,0 days 00:00:02.749277,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,388,,COMPLETE
3,0.255996178770947,2026-06-25 13:20:19.969301,2026-06-25 13:20:30.460514,0 days 00:00:10.491213,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.2586099576546019,2026-06-25 13:20:30.469436,2026-06-25 13:20:33.187151,0 days 00:00:02.717715,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,426,,COMPLETE
5,0.24753896325710212,2026-06-25 13:20:33.196408,2026-06-25 13:20:59.330726,0 days 00:00:26.134318,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,922,,COMPLETE
6,0.31285921815548,2026-06-25 13:20:59.343020,2026-06-25 13:21:03.641650,0 days 00:00:04.298630,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,317,,COMPLETE
7,0.2866622795759254,2026-06-25 13:21:03.650873,2026-06-25 13:21:20.878925,0 days 00:00:17.228052,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,320,,COMPLETE
8,0.25487812527049103,2026-06-25 13:21:20.887272,2026-06-25 13:22:04.770878,0 days 00:00:43.883606,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.2938698565937388,2026-06-25 13:22:04.780370,2026-06-25 13:22:13.764438,0 days 00:00:08.984068,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,207,,COMPLETE
