dataset,task_type,silhouette_score,knn_purity
fitness_club,binary,0.0508266240358352,0.7541666666666667
another-dataset-on-used-fiat-500,regression,0.0932162255048751,0.659349593495935
hiva_agnostic,multiclass,-0.0196744669228792,0.9626142962728328
healthcare_insurance_expenses,regression,0.1580597162246704,0.8925233644859812
e-commereshippingdata,binary,0.1187251210212707,0.6582559176184816
credit_card_clients_default,binary,0.0263122804462909,0.7848333333333333
churn,binary,0.3107904195785522,0.96925
maternal_health_risk,multiclass,0.0529532767832279,0.8224267211997273
airfoil_self_noise,regression,0.2031740546226501,0.8885165975103735
hazelnut-spread-contaminant-detection,binary,0.1376924216747284,0.9458333333333332
jm1,binary,-0.0029871370643377,0.7924889756141309
sdss17,multiclass,0.1676693856716156,0.9771788065233472
diabetes130us,binary,0.0357910692691803,0.8938371279865184
houses,regression,0.1062425449490547,0.7584794983838087
diabetes,binary,0.0166627932339906,0.7362521658003465
qsar-biodeg,binary,0.0296584852039814,0.8327838827838828
polish_companies_bankruptcy,binary,0.2068707346916198,0.9780048547490408
is-this-a-good-customer,binary,0.018924867734313,0.8672042160737814
naticusdroid,binary,0.006022488232702,0.9272380573126464
diamonds,regression,0.2109662890434265,0.93708277835977
in_vehicle_coupon_recommendation,binary,0.008727821521461,0.7225787655352074
coil2000_insurance_policies,binary,-0.0082400171086192,0.926943908597788
website_phishing,multiclass,0.0508482158184051,0.9029612561870628
qsar_fish_toxicity,regression,0.0431935749948024,0.5820689655172413
qsar-tid-11,regression,0.0704508647322654,0.674722690430301
splice,multiclass,0.1313310116529464,0.9459222593146848
students_dropout_and_academic_success,multiclass,0.046075589954853,0.7434364986135418
apsfailure,binary,0.2490984797477722,0.9930756578947368
bank_customer_churn,binary,0.0403413549065589,0.8411250000000001
bioresponse,binary,0.0085316719487309,0.7426666666666666
miami_housing,regression,0.1605739891529083,0.8187840290381125
blood-transfusion-service-center,binary,-0.0115863345563411,0.762549019607843
credit-g,binary,0.0260672755539417,0.7212500000000001
amazon_employee_access,binary,0.0249383952468633,0.9507915315658974
heloc,binary,0.0033352246973663,0.664873195120192
kddcup09_appetency,binary,0.0282940547913312,0.9801000000000002
physiochemical_protein,regression,0.0905516743659973,0.7416356623015838
anneal,multiclass,0.2884941101074219,0.9971830985915492
taiwanese_bankruptcy_prediction,binary,0.0904863625764846,0.9671860678276808
customer_satisfaction_in_airline,binary,0.0779687687754631,0.9564501907907196
wine_quality,regression,0.0763296335935592,0.6790421633227216
hr_analytics_job_change_of_data_scientists,binary,0.0366566739976406,0.7743697172269879
online_shoppers_intention,binary,0.0385867245495319,0.8875710016253912
bank-marketing,binary,0.0728367269039154,0.8724285609061256
mic,multiclass,0.1888356804847717,0.8785950727154329
marketing_campaign,binary,0.0450933501124382,0.8749926082694012
concrete_compressive_strength,regression,0.1460990309715271,0.8495195861049518
superconductivity,regression,0.1738585084676742,0.8483833039388594
food_delivery_time,regression,-0.0312402006238698,0.4172717271727172
seismic-bumps,binary,-0.0099840387701988,0.9235615444900632
givemesomecredit,binary,0.061734408140182495,0.9261250000000001
