Strategy,Average Rank (95% Bootstrap CI),Improvability % (95% Bootstrap CI),Norm Score (95% Bootstrap CI)
baseline_tabpfn,2.37  [1.73 - 3.07],4.5%  [1.9% - 7.6%],0.703  [0.561 - 0.837]
combined_lightgbm,3.60  [2.97 - 4.23],9.5%  [5.2% - 15.0%],0.371  [0.257 - 0.482]
combined_catboost,4.93  [4.07 - 5.73],10.3%  [5.9% - 15.9%],0.271  [0.155 - 0.415]
combined_xgboost,5.27  [4.43 - 6.13],13.3%  [8.1% - 19.8%],0.211  [0.123 - 0.316]
baseline_lightgbm,5.47  [4.67 - 6.30],13.2%  [7.5% - 20.0%],0.207  [0.102 - 0.304]
baseline_catboost,5.57  [4.50 - 6.60],13.7%  [7.5% - 21.5%],0.267  [0.152 - 0.396]
baseline_xgboost,6.27  [5.23 - 7.40],17.5%  [10.2% - 25.7%],0.214  [0.105 - 0.337]
embed-only_lightgbm,6.97  [6.07 - 7.80],17.6%  [12.0% - 24.1%],0.081  [0.035 - 0.136]
embed-only_catboost,7.20  [6.37 - 7.97],17.3%  [11.5% - 24.0%],0.071  [0.007 - 0.158]
embed-only_xgboost,7.37  [6.50 - 8.13],17.6%  [12.2% - 24.6%],0.073  [0.017 - 0.151]
