Strategy,Average Rank (95% Bootstrap CI),Improvability % (95% Bootstrap CI),Norm Score (95% Bootstrap CI)
baseline_tabpfn,2.77  [2.00 - 3.57],6.2%  [1.8% - 14.0%],0.652  [0.494 - 0.805]
combined_lightgbm,4.00  [3.33 - 4.70],11.7%  [5.9% - 19.8%],0.351  [0.227 - 0.477]
combined_catboost,4.97  [4.17 - 5.70],14.1%  [7.6% - 22.9%],0.238  [0.130 - 0.370]
combined_xgboost,5.63  [4.70 - 6.60],16.1%  [9.1% - 25.5%],0.199  [0.098 - 0.305]
baseline_lightgbm,5.67  [4.60 - 6.67],15.3%  [7.8% - 24.7%],0.238  [0.120 - 0.369]
baseline_catboost,5.83  [4.80 - 6.90],14.4%  [8.7% - 21.9%],0.222  [0.115 - 0.341]
embed-only_catboost,5.83  [4.93 - 6.73],18.4%  [11.4% - 27.5%],0.160  [0.066 - 0.270]
embed-only_lightgbm,6.67  [5.80 - 7.50],18.7%  [12.1% - 27.5%],0.079  [0.025 - 0.148]
baseline_xgboost,6.80  [5.63 - 8.00],20.5%  [11.8% - 31.4%],0.163  [0.070 - 0.274]
embed-only_xgboost,6.83  [5.87 - 7.77],19.0%  [12.1% - 27.9%],0.163  [0.054 - 0.276]
