,baseline_tabpfn,combined_lightgbm,combined_catboost,combined_xgboost,baseline_lightgbm,baseline_catboost,embed-only_catboost,embed-only_lightgbm,embed-only_xgboost,baseline_xgboost
baseline_tabpfn,,64.70588235294117,72.54901960784314,68.62745098039215,84.31372549019608,84.31372549019608,84.31372549019608,80.3921568627451,80.3921568627451,88.23529411764706
combined_lightgbm,35.294117647058826,,62.745098039215684,72.54901960784314,70.58823529411765,68.62745098039215,72.54901960784314,86.27450980392157,86.27450980392157,78.43137254901961
combined_catboost,27.450980392156865,37.254901960784316,,60.78431372549019,64.70588235294117,66.66666666666666,70.58823529411765,78.43137254901961,76.47058823529412,68.62745098039215
combined_xgboost,31.372549019607842,27.450980392156865,39.21568627450981,,60.78431372549019,54.90196078431373,60.78431372549019,62.745098039215684,64.70588235294117,68.62745098039215
baseline_lightgbm,15.686274509803921,29.411764705882355,35.294117647058826,39.21568627450981,,54.90196078431373,49.01960784313725,52.94117647058824,56.86274509803921,66.66666666666666
baseline_catboost,15.686274509803921,31.372549019607842,33.33333333333333,45.09803921568628,45.09803921568628,,52.94117647058824,50.98039215686274,54.90196078431373,64.70588235294117
embed-only_catboost,15.686274509803921,27.450980392156865,29.411764705882355,39.21568627450981,50.98039215686274,47.05882352941176,,54.90196078431373,62.745098039215684,58.82352941176471
embed-only_lightgbm,19.607843137254903,13.725490196078432,21.568627450980394,37.254901960784316,47.05882352941176,49.01960784313725,45.09803921568628,,52.94117647058824,60.78431372549019
embed-only_xgboost,19.607843137254903,13.725490196078432,23.52941176470588,35.294117647058826,43.13725490196079,45.09803921568628,37.254901960784316,47.05882352941176,,58.82352941176471
baseline_xgboost,11.76470588235294,21.568627450980394,31.372549019607842,31.372549019607842,33.33333333333333,35.294117647058826,41.17647058823529,39.21568627450981,41.17647058823529,
