dataset,strategy,rank,improvability,norm_score
airfoil_self_noise,baseline_tabpfn,1.0,0.0,1.0
airfoil_self_noise,embed-only_catboost,2.0,2.1,0.637
airfoil_self_noise,combined_catboost,3.0,3.5,0.392
airfoil_self_noise,combined_xgboost,4.0,4.0,0.291
airfoil_self_noise,embed-only_xgboost,5.0,5.1,0.096
airfoil_self_noise,combined_lightgbm,6.0,6.1,0.0
airfoil_self_noise,embed-only_lightgbm,7.0,8.1,0.0
airfoil_self_noise,baseline_catboost,8.0,36.5,0.0
airfoil_self_noise,baseline_lightgbm,9.0,40.0,0.0
airfoil_self_noise,baseline_xgboost,10.0,45.0,0.0
amazon_employee_access,baseline_catboost,1.0,0.0,1.0
amazon_employee_access,combined_catboost,2.0,10.9,0.718
amazon_employee_access,baseline_lightgbm,3.0,26.5,0.17
amazon_employee_access,combined_lightgbm,4.0,27.7,0.118
amazon_employee_access,baseline_tabpfn,5.0,29.2,0.053
amazon_employee_access,embed-only_xgboost,6.0,31.4,0.0
amazon_employee_access,embed-only_lightgbm,7.0,31.5,0.0
amazon_employee_access,embed-only_catboost,8.0,33.5,0.0
amazon_employee_access,combined_xgboost,9.0,54.4,0.0
amazon_employee_access,baseline_xgboost,10.0,75.2,0.0
anneal,baseline_catboost,1.0,0.0,1.0
anneal,combined_lightgbm,2.0,94.9,0.866
anneal,combined_xgboost,3.0,99.1,0.24
anneal,embed-only_catboost,4.0,99.2,0.133
anneal,baseline_lightgbm,5.0,99.2,0.06
anneal,combined_catboost,6.0,99.3,0.0
anneal,baseline_tabpfn,7.0,99.4,0.0
anneal,embed-only_lightgbm,8.0,99.6,0.0
anneal,embed-only_xgboost,9.0,99.8,0.0
anneal,baseline_xgboost,10.0,99.9,0.0
another-dataset-on-used-fiat-500,baseline_tabpfn,1.0,0.0,1.0
another-dataset-on-used-fiat-500,combined_catboost,2.0,2.0,0.45
another-dataset-on-used-fiat-500,embed-only_catboost,3.0,3.2,0.105
another-dataset-on-used-fiat-500,baseline_catboost,4.0,3.3,0.061
another-dataset-on-used-fiat-500,combined_lightgbm,5.0,3.3,0.052
another-dataset-on-used-fiat-500,embed-only_lightgbm,6.0,3.7,0.0
another-dataset-on-used-fiat-500,combined_xgboost,7.0,3.9,0.0
another-dataset-on-used-fiat-500,baseline_lightgbm,8.0,4.2,0.0
another-dataset-on-used-fiat-500,baseline_xgboost,9.0,4.6,0.0
another-dataset-on-used-fiat-500,embed-only_xgboost,10.0,6.0,0.0
apsfailure,combined_catboost,1.0,0.0,1.0
apsfailure,baseline_tabpfn,2.0,29.7,0.475
apsfailure,combined_lightgbm,3.0,37.0,0.27
apsfailure,combined_xgboost,4.0,38.9,0.209
apsfailure,baseline_xgboost,5.0,42.7,0.072
apsfailure,embed-only_catboost,6.0,46.3,0.0
apsfailure,embed-only_xgboost,7.0,46.4,0.0
apsfailure,baseline_lightgbm,8.0,47.5,0.0
apsfailure,baseline_catboost,9.0,50.6,0.0
apsfailure,embed-only_lightgbm,10.0,50.9,0.0
bank-marketing,baseline_tabpfn,1.0,0.0,1.0
bank-marketing,baseline_xgboost,2.0,0.2,0.785
bank-marketing,combined_lightgbm,3.0,0.3,0.657
bank-marketing,baseline_lightgbm,4.0,0.5,0.455
bank-marketing,baseline_catboost,5.0,0.6,0.266
bank-marketing,combined_catboost,6.0,1.0,0.0
bank-marketing,combined_xgboost,7.0,1.3,0.0
bank-marketing,embed-only_lightgbm,8.0,1.6,0.0
bank-marketing,embed-only_catboost,9.0,1.8,0.0
bank-marketing,embed-only_xgboost,10.0,2.0,0.0
bank_customer_churn,baseline_tabpfn,1.0,0.0,1.0
bank_customer_churn,combined_catboost,2.0,0.6,0.747
bank_customer_churn,combined_lightgbm,3.0,0.7,0.674
bank_customer_churn,baseline_catboost,4.0,1.8,0.15
bank_customer_churn,embed-only_lightgbm,5.0,1.9,0.114
bank_customer_churn,baseline_lightgbm,6.0,2.4,0.0
bank_customer_churn,combined_xgboost,7.0,3.4,0.0
bank_customer_churn,embed-only_catboost,8.0,3.7,0.0
bank_customer_churn,embed-only_xgboost,9.0,4.0,0.0
bank_customer_churn,baseline_xgboost,10.0,5.6,0.0
bioresponse,baseline_catboost,1.0,0.0,1.0
bioresponse,baseline_xgboost,2.0,1.4,0.689
bioresponse,baseline_lightgbm,3.0,1.5,0.67
bioresponse,combined_lightgbm,4.0,3.9,0.104
bioresponse,baseline_tabpfn,5.0,4.1,0.056
bioresponse,combined_xgboost,6.0,4.6,0.0
bioresponse,combined_catboost,7.0,5.6,0.0
bioresponse,embed-only_xgboost,8.0,26.0,0.0
bioresponse,embed-only_catboost,9.0,28.6,0.0
bioresponse,embed-only_lightgbm,10.0,30.5,0.0
blood-transfusion-service-center,baseline_tabpfn,1.0,0.0,1.0
blood-transfusion-service-center,baseline_catboost,2.0,2.0,0.673
blood-transfusion-service-center,combined_xgboost,3.0,2.1,0.664
blood-transfusion-service-center,combined_lightgbm,4.0,4.4,0.264
blood-transfusion-service-center,baseline_xgboost,5.0,4.7,0.218
blood-transfusion-service-center,combined_catboost,6.0,7.1,0.0
blood-transfusion-service-center,embed-only_catboost,7.0,7.2,0.0
blood-transfusion-service-center,baseline_lightgbm,8.0,7.8,0.0
blood-transfusion-service-center,embed-only_xgboost,9.0,17.5,0.0
blood-transfusion-service-center,embed-only_lightgbm,10.0,24.1,0.0
